t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred,pred_up,pred_down
2017/4/18,2891,18.5,18.65,18.45,18.65,21831,7965824,10282,258,-719,1.29,13.04,8.63,º¦,1,0
2017/4/19,2891,18.6,18.6,18.35,18.35,52636,7961973,-3850,236,765,1.27,12.83,8.77,¶^,0,1
2017/4/20,2891,18.35,18.45,18.25,18.3,34020,7954423,-7330,185,4323,1.26,12.8,8.8,¶^,0,1
2017/4/21,2891,18.45,18.5,18.4,18.4,24894,7959775,5351,0,-1357,1.27,12.87,8.75,º¦,1,0
2017/4/24,2891,18.5,18.5,18.35,18.4,16403,7966136,6361,0,-414,1.27,12.87,8.75,¥­,0,0
2017/4/25,2891,18.5,18.65,18.4,18.65,43845,7987454,21273,100,-2911,1.29,13.04,8.63,º¦,1,0
2017/4/26,2891,18.65,18.8,18.6,18.8,48432,8009417,21963,-28,-3822,1.3,13.15,8.56,º¦,1,0
2017/4/27,2891,18.7,18.8,18.7,18.8,21243,8013700,4343,184,-3053,1.3,13.15,8.56,¥­,0,0
2017/4/28,2891,18.75,18.85,18.75,18.85,42692,8031615,17914,-395,-1426,1.3,13.18,8.54,º¦,1,0
2017/5/2,2891,18.85,18.95,18.8,18.9,40157,8048597,16982,289,-617,1.3,13.22,8.52,º¦,1,0
2017/5/3,2891,18.9,19,18.9,19,34291,8060590,11993,0,-2511,1.31,13.29,8.47,º¦,1,0
2017/5/4,2891,19,19,18.9,19,25852,8070938,10348,-16,-1699,1.31,13.29,5.26,¥­,0,0
2017/5/5,2891,19,19,18.9,18.9,21970,8081282,10343,90,-947,1.3,13.22,5.29,¶^,0,1
2017/5/8,2891,18.95,19,18.9,19,30207,8087604,6322,166,-2892,1.31,13.29,5.26,º¦,1,0
2017/5/9,2891,19,19.1,18.95,19,60892,8112994,25390,-79,683,1.31,13.29,5.26,¥­,0,0
2017/5/10,2891,19,19.1,18.95,19.05,44758,8127023,14029,312,-1361,1.31,13.32,5.25,º¦,1,0
2017/5/11,2891,19.05,19.15,19,19.15,35413,8136852,9829,102,-44,1.32,13.39,5.22,º¦,1,0
2017/5/12,2891,19.1,19.3,19.1,19.3,46466,8152918,16065,128,2051,1.33,13.5,5.18,º¦,1,0
2017/5/15,2891,19.3,19.5,19.25,19.5,50381,8179710,26971,919,-202,1.35,13.64,5.13,º¦,1,0
2017/5/16,2891,19.6,19.7,19.5,19.7,61468,8203240,23531,2944,2319,1.36,13.78,5.08,º¦,1,0
2017/5/17,2891,19.7,19.7,19.5,19.65,37871,8216331,13090,466,-1437,1.36,13.74,5.09,¶^,0,1
2017/5/18,2891,19.4,19.5,19.3,19.5,45933,8202459,-14089,-70,2451,1.35,13.64,5.13,¶^,0,1
2017/5/19,2891,19.4,19.45,19.15,19.25,37694,8200649,-1810,0,3926,1.33,13.46,5.19,¶^,0,1
2017/5/22,2891,19.3,19.45,19.25,19.4,39657,8216384,15735,-8,-114,1.34,13.57,5.15,º¦,1,0
2017/5/23,2891,19.5,19.5,19.05,19.1,45602,8215655,-788,48,735,1.32,13.36,5.24,¶^,0,1
2017/5/24,2891,19.2,19.25,19.1,19.1,29331,8223410,10311,0,9,1.32,13.36,5.24,¥­,0,0
2017/5/25,2891,19.1,19.45,19.05,19.45,45940,8245381,21971,-17,1009,1.34,13.6,5.14,º¦,1,0
2017/5/26,2891,19.45,19.45,19.3,19.45,36618,8247616,2235,-507,-1062,1.3,12.01,5.14,¥­,0,0
2017/5/31,2891,19.45,19.5,19.15,19.15,43543,8247208,-408,-222,-58,1.28,11.82,5.22,¶^,0,1
2017/6/1,2891,19.15,19.25,19.1,19.15,31508,8254151,6943,370,-73,1.28,11.82,5.22,¥­,0,0
2017/6/2,2891,19.3,19.35,19.15,19.3,23788,8255477,1326,-75,-50,1.29,11.91,5.18,º¦,1,0
2017/6/3,2891,19.3,19.4,19.25,19.4,11454,8255477,0,-312,808,1.3,11.98,5.15,º¦,1,0
2017/6/5,2891,19.4,19.4,19.3,19.35,36763,8255254,-224,-308,-181,1.3,11.94,5.17,¶^,0,1
2017/6/6,2891,19.35,19.4,19.3,19.35,25456,8254047,-1019,-100,425,1.3,11.94,5.17,¥­,0,0
2017/6/7,2891,19.3,19.35,19.25,19.3,25476,8250478,-3568,-28,-204,1.29,11.91,5.18,¶^,0,1
2017/6/8,2891,19.3,19.4,19.2,19.4,34405,8259051,8702,-13,327,1.3,11.98,5.15,º¦,1,0
2017/6/9,2891,19.4,19.5,19.3,19.4,28972,8256028,-3023,262,1303,1.3,11.98,5.15,¥­,0,0
2017/6/12,2891,19.4,19.45,19.35,19.4,25122,8250246,-4864,-73,2772,1.3,11.98,5.15,¥­,0,0
2017/6/13,2891,19.4,19.5,19.35,19.45,22606,8247287,1400,0,-181,1.3,12.01,5.14,º¦,1,0
2017/6/14,2891,19.4,19.45,19.25,19.4,25857,8243013,1142,-8,-749,1.3,11.98,5.15,¶^,0,1
2017/6/15,2891,19.3,19.4,19.25,19.4,19818,8238503,1829,18,-6,1.3,11.98,5.15,¥­,0,0
2017/6/16,2891,19.25,19.4,19.25,19.35,21044,8233230,-211,621,64,1.3,11.94,5.17,¶^,0,1
2017/6/19,2891,19.35,19.5,19.3,19.5,24970,8241942,8713,-20,1391,1.31,12.04,5.13,º¦,1,0
2017/6/20,2891,19.5,19.55,19.4,19.55,22948,8248008,6862,-454,791,1.31,12.07,5.12,º¦,1,0
2017/6/21,2891,19.45,19.55,19.4,19.4,24169,8247367,518,-150,2006,1.3,11.98,5.15,¶^,0,1
2017/6/22,2891,19.4,19.5,19.35,19.5,19344,8272181,7307,-99,263,1.31,12.04,5.13,º¦,1,0
2017/6/23,2891,19.45,19.5,19.35,19.4,17475,8273034,3956,-270,-82,1.3,11.98,5.15,¶^,0,1
2017/6/26,2891,19.45,19.8,19.4,19.8,52356,8293061,24547,-27,3341,1.33,12.22,5.05,º¦,1,0
2017/6/27,2891,19.8,19.9,19.7,19.8,30692,8301761,8700,521,134,1.33,12.22,5.05,¥­,0,0
2017/6/28,2891,19.75,19.75,19.55,19.7,19595,8302431,670,-48,318,1.32,12.16,5.08,¶^,0,1
2017/6/29,2891,19.85,20,19.8,19.9,30847,8317784,15353,-10,830,1.33,12.28,5.03,º¦,1,0
2017/6/30,2891,19.9,20,19.8,19.95,31318,8327914,10130,510,209,1.34,12.31,5.01,º¦,1,0
2017/7/3,2891,20,20,19.9,20,24465,8330920,3006,-17,1404,1.34,12.35,5,º¦,1,0
2017/7/4,2891,20,20.2,19.95,20.1,47969,8335310,10489,132,5956,1.35,12.41,4.98,º¦,1,0
2017/7/5,2891,20.15,20.2,20,20.2,33372,8330169,-1008,11,2348,1.35,12.47,4.95,º¦,1,0
2017/7/6,2891,20.2,20.2,19.95,20.15,39649,8330516,347,1011,2326,1.35,12.44,4.96,¶^,0,1
2017/7/7,2891,20.05,20.1,19.95,19.95,44279,8327859,-2657,286,-18442,1.34,12.31,5.01,¶^,0,1
2017/7/10,2891,20,20.05,19.9,19.95,36732,8324982,-2877,-238,-2918,1.34,12.31,5.01,¥­,0,0
2017/7/11,2891,19.95,20.2,19.95,20.2,41028,8336795,12029,-14,3683,1.35,12.47,4.95,º¦,1,0
2017/7/12,2891,20.2,20.35,20.15,20.3,41048,8343292,6497,-137,3588,1.36,12.53,4.93,º¦,1,0
2017/7/13,2891,20.35,20.7,20.35,20.65,64887,8371500,28207,-302,7915,1.38,12.75,4.84,º¦,1,0
2017/7/14,2891,20.7,20.75,20.6,20.7,79548,8385015,13516,-38,17594,1.39,12.78,4.83,º¦,1,0
2017/7/17,2891,20,20.05,19.8,19.9,59040,8386419,1404,-170,-13056,1.33,12.28,5.03,¶^,0,1
2017/7/18,2891,19.95,19.95,19.6,19.6,45480,8377626,-8794,-3088,-602,1.31,12.1,5.1,¶^,0,1
2017/7/19,2891,19.65,19.85,19.6,19.8,29929,8385203,7578,-33,-888,1.33,12.22,5.05,º¦,1,0
2017/7/20,2891,19.8,19.8,19.6,19.65,17096,8385054,-149,-46,-313,1.32,12.13,5.09,¶^,0,1
2017/7/21,2891,19.65,19.65,19.45,19.5,26792,8380499,-4555,-902,-586,1.31,12.04,5.13,¶^,0,1
2017/7/24,2891,19.45,19.45,19.25,19.4,38296,8387271,5496,-300,-5945,1.3,11.98,5.15,¶^,0,1
