t_date,p_close,code,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred_days
2015/5/5,21.25,2884,19491,4141676,1863,1536,-519,1.4,14.26,6.35,D
2015/5/6,20.9,2884,18293,4141934,734,1024,-180,1.38,14.03,6.46,C
2015/5/7,20.45,2884,19450,4148434,6500,0,-781,1.35,13.72,6.6,C
2015/5/8,20.5,2884,8701,4149401,966,0,-137,1.35,13.76,6.59,B
2015/5/11,20.45,2884,12084,4149650,249,2,-96,1.35,13.72,6.6,B
2015/5/12,20.5,2884,12978,4148340,-1309,-293,223,1.35,13.76,6.59,B
2015/5/13,20.5,2884,6692,4148014,-326,-2,113,1.35,13.76,6.34,B
2015/5/14,20.15,2884,14422,4144437,-3577,4,-1344,1.33,13.52,6.45,B
2015/5/15,20.1,2884,11001,4141748,-2689,-5,-454,1.3,13.49,6.47,B
2015/5/18,20.15,2884,9163,4139168,-2250,0,-449,1.3,13.52,6.45,B
2015/5/19,20.5,2884,9701,4139772,603,0,167,1.32,13.76,6.34,C
2015/5/20,20.3,2884,13759,4136096,-3676,8,55,1.31,13.62,6.4,C
2015/5/21,20.25,2884,16864,4135539,-557,0,-894,1.31,13.59,6.42,C
2015/5/22,20.65,2884,9933,4140767,5228,-1500,55,1.33,13.86,6.3,C
2015/5/25,20.35,2884,7511,4138161,-2618,0,-309,1.31,13.66,6.39,C
2015/5/26,20.65,2884,9501,4392083,5038,0,-22,1.33,13.86,6.3,C
2015/5/27,21.1,2884,20633,4399479,7396,0,796,1.36,14.16,6.16,C
2015/5/28,21,2884,19737,4401949,2470,-3,-1079,1.35,14.09,6.19,C
2015/5/29,20.9,2884,14637,4401639,-310,-10,17,1.35,14.03,6.22,C
2015/6/1,20.7,2884,8708,4399964,-1674,0,-16,1.34,13.89,6.28,C
2015/6/2,20.65,2884,12280,4400197,232,0,-193,1.33,13.86,6.3,C
2015/6/3,20.75,2884,9815,4402260,2063,32,-111,1.34,13.93,6.27,C
2015/6/4,20.55,2884,14753,4406360,2696,0,-839,1.33,13.79,6.33,B
2015/6/5,20.75,2884,16552,4403037,-3322,-6,-95,1.34,13.93,6.27,D
2015/6/8,20.75,2884,11600,4399817,-3208,0,-68,1.34,13.93,6.27,B
2015/6/9,20.75,2884,11488,4403429,3943,0,132,1.34,13.93,6.27,D
2015/6/10,20.8,2884,9321,4402688,-741,-416,-191,1.34,13.96,6.25,D
2015/6/11,20.55,2884,11563,4398805,-2961,0,-452,1.33,13.79,6.33,C
2015/6/12,20.95,2884,17935,4399760,3538,-9,-141,1.35,14.06,6.21,C
2015/6/15,20.8,2884,8517,4391122,-3067,0,-59,1.34,13.96,6.25,B
2015/6/16,20.6,2884,9724,4388541,-2581,4,52,1.33,13.83,6.31,A
2015/6/17,20.35,2884,12484,4383837,-4868,0,169,1.31,13.66,6.39,A
2015/6/18,20.25,2884,15028,4380312,-3983,-8,161,1.31,13.59,6.42,A
2015/6/22,20.55,2884,7947,4381832,1520,-29,63,1.33,13.79,6.33,B
2015/6/23,20.5,2884,8484,4371097,-2440,71,-192,1.32,13.76,6.34,B
2015/6/24,20.65,2884,5136,4363162,1222,-59,-166,1.33,13.86,6.3,B
2015/6/25,21,2884,14174,4364138,8019,-8,157,1.35,14.09,6.19,C
2015/6/26,20.95,2884,12039,4359049,3197,-29,583,1.35,14.06,6.21,D
2015/6/29,20.7,2884,7544,4357042,767,-2,-728,1.34,13.89,6.28,D
2015/6/30,20.6,2884,18895,4354199,-4465,0,-105,1.33,13.83,6.31,C
2015/7/1,20.7,2884,5593,4355055,-1426,0,401,1.34,13.89,6.28,E
2015/7/2,20.6,2884,10346,4352379,-2676,0,-27,1.33,13.83,6.31,E
2015/7/3,20.85,2884,9730,4352502,588,-1,-158,1.35,13.99,6.24,E
2015/7/6,20.5,2884,12771,4348579,-3923,0,284,1.32,13.76,6.34,D
2015/7/7,21,2884,17202,4354419,5840,0,970,1.35,14.09,6.19,D
2015/7/8,20.5,2884,22019,4349081,-5347,599,-1141,1.32,13.76,6.34,D
2015/7/9,20.3,2884,23043,4337002,-9098,-15,-585,1.31,13.62,6.4,D
2015/7/13,20.6,2884,9121,4336992,-1601,-1,36,1.33,13.83,6.31,D
